id,name,slug,icon,type,description,range,created_at,updated_at
85,"{""en-US"":""Gun Tower"",""zh-CN"":""铳械塔"",""ja-JP"":""銃器タワー"",""ko-KR"":""총기 타워"",""zh-TW"":""銃械塔""}",battle_turret_1,item_port_battle_turret_1,,"{""en-US"":""ATK Rate: FAST / Range: MEDIUM \nContinuously fires energy bolts that deal Physical DMG to a single enemy."",""zh-CN"":""攻击速度：快 攻击范围：中\n持续发射能量弹，对单一敌人造成物理伤害。"",""ja-JP"":""攻撃速度：速い　攻撃距離：普通\n単体の敵にエネルギー弾を持続的に発射し、物理ダメージを与える。"",""ko-KR"":""공격 속도: 빠름 공격 범위: 중\n지속적으로 에너지 탄을 발사하여 단일 적에게 물리 피해를 준다."",""zh-TW"":""攻擊速度：快 攻擊範圍：中\n持續發射能量彈，對單一敵人造成物理傷害。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:39
86,"{""en-US"":""Heavy Gun Tower"",""zh-CN"":""扩装铳械塔"",""ja-JP"":""強襲銃器タワー"",""ko-KR"":""확장 총기 타워"",""zh-TW"":""擴裝銃械塔""}",battle_turret_2,item_port_battle_turret_2,,"{""en-US"":""ATK Rate: FAST / Range: MEDIUM \nContinuously fires Mk II energy bolts that deal Physical DMG to a single enemy."",""zh-CN"":""攻击速度：快 攻击范围：中\n持续发射II级能量弹，对单一敌人造成物理伤害。"",""ja-JP"":""攻撃速度：速い　攻撃距離：普通\n単体の敵にⅡ級エネルギー弾を持続的に発射し、物理ダメージを与える。"",""ko-KR"":""공격 속도: 빠름 공격 범위: 중\n지속적으로 레벨 II 에너지 탄을 발사하여 단일 적에게 물리 피해를 준다."",""zh-TW"":""攻擊速度：快 攻擊範圍：中\n持續發射II級能量彈，對單一敵人造成物理傷害。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:39
87,"{""en-US"":""Fitting Unit"",""zh-CN"":""配件机"",""ja-JP"":""組立機"",""ko-KR"":""부품 가공기"",""zh-TW"":""配件機""}",component_mc_1,item_port_cmpt_mc_1,,"{""en-US"":""A facility capable of processing various parts and components."",""zh-CN"":""能够加工各式零件的平台。"",""ja-JP"":""さまざまな部品を組み立てることができる機械。"",""ko-KR"":""다양한 부품을 가공할 수 있는 설비다."",""zh-TW"":""能夠加工各種零件的平台。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:39
88,"{""en-US"":""Fluid Supply Unit"",""zh-CN"":""给水器"",""ja-JP"":""排水装置"",""ko-KR"":""액체 배출 장치"",""zh-TW"":""液體供給器""}",dumper_1,item_port_dumper_1,,"{""en-US"":""A facility for dispensing fluids."",""zh-CN"":""用于供给液体的设备。"",""ja-JP"":""液体を放出する設備。"",""ko-KR"":""액체를 배출하는 설비다."",""zh-TW"":""用於供給液體的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:39
89,"{""en-US"":""Fluid Supply Unit"",""zh-CN"":""给水器"",""ja-JP"":""排水装置"",""ko-KR"":""액체 배출 장치"",""zh-TW"":""液體供給器""}",dumper_nop_1,,,"{""en-US"":""A facility for dispensing fluids."",""zh-CN"":""用于供给液体的设备。"",""ja-JP"":""液体を放出する設備。"",""ko-KR"":""액체를 배출하는 설비다."",""zh-TW"":""用於供給液體的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:39
90,"{""en-US"":""Filling Unit"",""zh-CN"":""灌装机"",""ja-JP"":""充填機"",""ko-KR"":""충진기"",""zh-TW"":""灌裝機""}",filling_powder_mc_1,item_port_filling_pd_mc_1,,"{""en-US"":""A facility capable of filling containers with various materials."",""zh-CN"":""能够将原料灌装到容器的设备。"",""ja-JP"":""原料を容器に充填できる機械。"",""ko-KR"":""원료를 용기에 주입할 수 있는 설비다."",""zh-TW"":""能夠將原料灌裝到容器的設備。""}","{""depth"":4,""height"":4,""width"":6,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:40
91,"{""en-US"":""Refining Unit"",""zh-CN"":""精炼炉"",""ja-JP"":""精錬炉"",""ko-KR"":""정련로"",""zh-TW"":""精煉爐""}",furnance_1,item_port_furnance_1,,"{""en-US"":""A facility that performs high temperature smelting of various materials."",""zh-CN"":""使用高温熔炼其他材料的设备。"",""ja-JP"":""高温で材料を加工する機械。"",""ko-KR"":""고온으로 재료를 정련하는 설비다."",""zh-TW"":""使用高溫熔煉其他材料的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:40
92,"{""en-US"":""Refining Unit"",""zh-CN"":""精炼炉"",""ja-JP"":""精錬炉"",""ko-KR"":""정련로"",""zh-TW"":""精煉爐""}",furnance_nop_1,item_port_furnance_1,,"{""en-US"":""A facility that performs high temperature smelting of various materials."",""zh-CN"":""使用高温熔炼其他材料的设备。"",""ja-JP"":""高温で材料を加工する機械。"",""ko-KR"":""고온으로 재료를 정련하는 설비다."",""zh-TW"":""使用高溫熔煉其他材料的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:45,2025-11-15 00:47:40
93,"{""en-US"":""Shredding Unit"",""zh-CN"":""粉碎机"",""ja-JP"":""粉砕機"",""ko-KR"":""분쇄기"",""zh-TW"":""粉碎機""}",grinder_1,item_port_grinder_1,,"{""en-US"":""A heavy facility that shreds and pulverizes various materials."",""zh-CN"":""能粉碎各种材料的重型设备。"",""ja-JP"":""さまざまな材料を粉砕できる機械。"",""ko-KR"":""다양한 재료를 분해할 수 있는 중형 설비다."",""zh-TW"":""能粉碎各種材料的重型設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:40
94,"{""en-US"":""Water Treatment Unit"",""zh-CN"":""污水处理机"",""ja-JP"":""汚水処理装置"",""ko-KR"":""오염수 처리기"",""zh-TW"":""污水處理機""}",liquid_cleaner_1,item_port_liquid_cleaner_1,,"{""en-US"":""A facility for processing Sewage."",""zh-CN"":""用于处理污水的设备。"",""ja-JP"":""汚水を処理できる装置。"",""ko-KR"":""오염수를 처리하는 설비다."",""zh-TW"":""用於處理污水的設備。""}","{""depth"":3,""height"":5,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:40
95,"{""en-US"":""Fluid Tank"",""zh-CN"":""储液罐"",""ja-JP"":""液体貯蔵タンク"",""ko-KR"":""액체 저장 탱크"",""zh-TW"":""儲液罐""}",liquid_storager_1,item_port_liquid_storager_1,,"{""en-US"":""A facility for storing fluids."",""zh-CN"":""存储液体的设备。"",""ja-JP"":""液体を保存できるタンク。"",""ko-KR"":""액체를 저장하는 설비다."",""zh-TW"":""儲存液體的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:40
96,"{""en-US"":""Fluid Tank"",""zh-CN"":""储液罐"",""ja-JP"":""液体貯蔵タンク"",""ko-KR"":""액체 저장 탱크"",""zh-TW"":""儲液罐""}",liquid_storager_nop_1,item_port_liquid_storager_1,,"{""en-US"":""A facility for storing fluids."",""zh-CN"":""存储液体的设备。"",""ja-JP"":""液体を保存できるタンク。"",""ko-KR"":""액체를 저장하는 설비다."",""zh-TW"":""儲存液體的設備。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:41
97,"{""en-US"":""Bus Loader"",""zh-CN"":""总线输入口"",""ja-JP"":""バス輸送口"",""ko-KR"":""버스 입력 포트"",""zh-TW"":""總線輸入口""}",loader_1,item_port_loader_1,,"{""en-US"":""A deployable loading point that delivers goods from the AIC to a local depot. The Bus Loader must be placed right next to the AIC Logistics Bus."",""zh-CN"":""可将物品运送至当地仓库的活动端口，只能贴靠集成输送总线放置。"",""ja-JP"":""アイテムを地域倉庫に輸送できる。集成輸送バスに接続して設置することができる。"",""ko-KR"":""아이템을 창고로 운송할 수 있는 입력 포트, 통합 운송 버스에 붙여야만 배치할 수 있다."",""zh-TW"":""可將物品運送至當地倉庫的移動連接口，只能貼著集成輸送總線放置。""}","{""depth"":1,""height"":3,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:41
98,"{""en-US"":""Portable Originium Rig"",""zh-CN"":""便携源石矿机"",""ja-JP"":""携帯式源石採鉱機"",""ko-KR"":""휴대용 오리지늄 채굴기"",""zh-TW"":""便攜式源石礦機""}",miner_1,item_port_miner_1,,"{""en-US"":""A mining rig for digging up Originium Ore. This rig does not need to be connected to the power grid to work as it powers itself using the Originium it mines."",""zh-CN"":""用来开采源矿的机械设备，可使用源石完成自供能，不需要通电就可以运作。"",""ja-JP"":""源石鉱物の採掘に使用する機械。源石を用いて自家発電するため、電力の供給は必要ない。"",""ko-KR"":""오리지늄 광물을 채굴하는 설비로, 오리지늄으로 자체 에너지 공급이 가능하며 전력을 공급하지 않아도 작동할 수 있다."",""zh-TW"":""用來開採源礦的機械設備，可使用源石完成自動供能，不需要通電就可以運作。""}","{""depth"":3,""height"":3,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:41
99,"{""en-US"":""Electric Mining Rig"",""zh-CN"":""电驱矿机"",""ja-JP"":""電動採鉱機"",""ko-KR"":""전동 채굴기"",""zh-TW"":""電驅礦機""}",miner_2,item_port_miner_2,,"{""en-US"":""Requires power. This mining rig can mine Originium Ore and Krystallite."",""zh-CN"":""在通电状态下，可以用来开采源矿、类晶石的机械设备。"",""ja-JP"":""通電中、源石鉱物や類晶石を採掘することができる機械。"",""ko-KR"":""전력 공급 상태에서 오리지늄 광물과 크리스털 라이트를 채굴할 수 있는 설비다."",""zh-TW"":""在通電狀態下，可以用來開採源礦、類晶石的機械設備。""}","{""depth"":3,""height"":5,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:41
100,"{""en-US"":""Electric Mining Rig Mk II"",""zh-CN"":""二型电驱矿机"",""ja-JP"":""電動採鉱機Ⅱ"",""ko-KR"":""전동 채굴기 II"",""zh-TW"":""電驅礦機II""}",miner_3,item_port_miner_3,,"{""en-US"":""Requires power. This mining rig can mine Ferrium Ore and other minerals."",""zh-CN"":""在通电状态下，可以用来开采蓝铁矿等多种矿物的机械设备。"",""ja-JP"":""通電中、青鉄鉱物などのさまざまな鉱物を採掘することができる機械。"",""ko-KR"":""전력 공급 상태에서 페리움 광석 등 다양한 광물을 채굴할 수 있는 설비다."",""zh-TW"":""在通電狀態下，可以用來開採藍鐵礦等多種礦物的機械設備。""}","{""depth"":3,""height"":5,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:46,2025-11-15 00:47:42
101,"{""en-US"":""Hydro Mining Rig"",""zh-CN"":""水驱矿机"",""ja-JP"":""水力採鉱機"",""ko-KR"":""수력 채굴기"",""zh-TW"":""水驅礦機""}",miner_4,item_port_miner_4,,"{""en-US"":""A mining rig for digging up Cuprium Ore. This rig does not need power as it can be driven with Clean Water."",""zh-CN"":""用来开采赤铜矿等多种矿物的机械设备，可使用清水完成自供能，不需要通电就可以运作。"",""ja-JP"":""赤銅鉱物などさまざまな鉱物の採掘に使用する機械。真水を用いて自家発電するため、電力の供給は必要ない。"",""ko-KR"":""적동 광석 등 다양한 광물을 채굴하는 설비, 청정수로 자체 에너지를 공급할 수 있어서 전력 없이도 작동할 수 있다."",""zh-TW"":""用來開採赤銅礦等多種礦物的機械設備，可使用清水完成自供能，不需要通電就可以運作。""}","{""depth"":3,""height"":5,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:42
102,"{""en-US"":""Reactor Crucible"",""zh-CN"":""反应池"",""ja-JP"":""化学反応炉"",""ko-KR"":""반응기"",""zh-TW"":""反應池""}",mix_pool_1,item_port_mix_pool_1,,"{""en-US"":""A facility for running solid or liquid-state chemical reactions."",""zh-CN"":""进行固液体化学反应的设备。"",""ja-JP"":""固体と液体の物質を化学反応させる装置。"",""ko-KR"":""고체와 액체의 화학반응을 진행하는 설비다."",""zh-TW"":""進行固液體化學反應的設備。""}","{""depth"":5,""height"":5,""width"":5,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:42
103,"{""en-US"":""Planting Unit"",""zh-CN"":""种植机"",""ja-JP"":""栽培機"",""ko-KR"":""재배기"",""zh-TW"":""種植機""}",planter_1,item_port_planter_1,,"{""en-US"":""A cultivating silo for growing various common plants and crops."",""zh-CN"":""能够培育各类普通植物的仓形设备。"",""ja-JP"":""通常の植物を栽培することができる倉庫型の機械。"",""ko-KR"":""각종 일반 식물을 재배할 수 있는 창고형 설비다."",""zh-TW"":""能夠培育各類普通植物的艙形設備。""}","{""depth"":5,""height"":4,""width"":5,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:43
104,"{""en-US"":""Electric Pylon"",""zh-CN"":""供电桩"",""ja-JP"":""送電スタンド"",""ko-KR"":""전력 공급기"",""zh-TW"":""供電樁""}",power_diffuser_1,item_port_power_diffuser_1,,"{""en-US"":""Once connected to the power grid, this pylon can wirelessly power all Endfield facilities within its area of effect."",""zh-CN"":""通电后可给一定范围内的终末地设备无线供电。"",""ja-JP"":""通電後、一定範囲内のエンドフィールド設備に無線で電力供給ができる。"",""ko-KR"":""전력 공급 후 일정 범위 내의 엔드필드 설비에 무선으로 전력을 공급할 수 있다."",""zh-TW"":""通電後可以無線供電給一定範圍內的終末地設備。""}","{""depth"":2,""height"":7,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:43
105,"{""en-US"":""Sector Relay Tower"",""zh-CN"":""全域中继器"",""ja-JP"":""全域中継タワー"",""ko-KR"":""전역 중계기"",""zh-TW"":""全域中繼器""}",power_gate_1,,,"{""en-US"":""A special electrical relay built by Endfield Industries. This facility can transmit power to other areas."",""zh-CN"":""终末地工业特制电路中继器，常被用以跨区域搭设电力系统。"",""ja-JP"":""エンドフィールド工業特製の電気中継タワー。エリアを跨いだ電力システムを構築するために使用される。"",""ko-KR"":""엔드필드 공업에서 특수 제작한 전기 회로 중계기, 주로 다른 지역 간의 전력 시스템 배치에 사용된다."",""zh-TW"":""終末地工業特製電路中繼器，常被用以跨區域搭設電力系統。""}","{""depth"":3,""height"":4,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:43
106,"{""en-US"":""Electric Pylon (NOT IN CBT2)"",""zh-CN"":""供电桩（2测废弃）"",""ja-JP"":""翻訳不要"",""ko-KR"":""전력 공급기(cbt2에서 폐기)"",""zh-TW"":""供電樁（2測廢棄）""}",power_pole_1,item_port_power_pole_1,,"{""en-US"":""This pylon can wirelessly supply electricity to all Endfield facilities within its area of effect. It also comes with a 30-meter power transmission radius."",""zh-CN"":""可给一定范围内的终末地设备无线供电，并可在30M范围内完成电力配给。"",""ja-JP"":""30メートルの範囲内のエンドフィールド設備に無線で電力供給ができる。"",""ko-KR"":""일정 범위 내의 엔드필드 설비에 무선으로 전력을 공급하고, 30미터 범위 내에서 전력을 분배할 수 있다."",""zh-TW"":""可無線供電給一定範圍內的終末地設備，並可在30m範圍內完成電力供給。""}","{""depth"":2,""height"":7,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:44
107,"{""en-US"":""Relay Tower"",""zh-CN"":""中继器"",""ja-JP"":""中継タワー"",""ko-KR"":""중계기"",""zh-TW"":""中繼器""}",power_pole_2,item_port_power_pole_2,,"{""en-US"":""This relay can only be used in electric power transmission. It also comes with an 80-meter power transmission radius."",""zh-CN"":""可以在80M范围内完成电力配给的中继设备，只能进行电力传输。"",""ja-JP"":""80メートルの範囲まで電力供給ができる中継設備。電力の輸送のみ可能。"",""ko-KR"":""80M 범위 내에서 전력 배급이 가능한 설비, 전력 운송만 가능하다."",""zh-TW"":""可以在80M範圍內完成電力供給的中繼設備，只能進行電力傳輸。""}","{""depth"":3,""height"":15,""width"":3,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:44
108,"{""en-US"":""Electric Nexus"",""zh-CN"":""供电终端"",""ja-JP"":""給電端末"",""ko-KR"":""전력 단말기"",""zh-TW"":""供電終端""}",power_port_1,item_port_power_port_1,,"{""en-US"":""An electric nexus is usually deployed at the end of a power transmission line."",""zh-CN"":""作为电路末端的终端中继器。"",""ja-JP"":""電路の末端として使用される端末中継タワー。"",""ko-KR"":""전기 회로 끝에 있는 단말 중계기다."",""zh-TW"":""作為電路末端的終端中繼器。""}","{""depth"":2,""height"":4,""width"":2,""x"":0,""y"":0,""z"":0}",2025-11-15 00:30:47,2025-11-15 00:47:44
