id,name,slug,icon,type,description,output_facility_craft_table,created_at,updated_at
328,"{""en-US"":""Snowshine"",""zh-CN"":""昼雪"",""ja-JP"":""スノーシャイン"",""ko-KR"":""스노우샤인"",""zh-TW"":""晝雪""}",chr_0014_aurora,item_chr_0014_aurora,,"{""en-US"":""Snowshine is a defender armed with a great sword. She deals Cryo Damage."",""zh-CN"":""昼雪是一名使用双手武器的重装干员，可造成寒冷属性的伤害。"",""ja-JP"":""スノーシャインは両手武器を使う重装オペレーターで、寒冷属性のダメージを与えることができる。"",""ko-KR"":""스노우샤인는 양손 무기를 사용하는 디펜더 오퍼레이터로, 냉기 속성 피해를 줄 수 있다."",""zh-TW"":""晝雪是一名使用雙手武器的重裝幹員，可造成寒冷屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:55
329,"{""en-US"":""Lifeng"",""zh-CN"":""黎风"",""ja-JP"":""リーフォン"",""ko-KR"":""여풍"",""zh-TW"":""黎風""}",chr_0015_lifeng,item_chr_0015_lifeng,,"{""en-US"":""Lifeng is a polearm-wielding guard who deals Physical Damage."",""zh-CN"":""黎风是一名使用长柄武器的近卫干员，可造成物理属性的伤害。"",""ja-JP"":""リーフォンは長柄武器を使う前衛オペレーターで、物理属性のダメージを与えることができる。"",""ko-KR"":""여풍은 긴 무기를 사용하는 가드 오퍼레이터로, 물리 속성 피해를 줄 수 있다."",""zh-TW"":""黎風是一名使用長柄武器的近衛幹員，可造成物理屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:55
330,"{""en-US"":""Laevatain"",""zh-CN"":""莱万汀"",""ja-JP"":""レーヴァテイン"",""ko-KR"":""레바테인"",""zh-TW"":""萊萬汀""}",chr_0016_laevat,item_chr_0016_laevat,,"{""en-US"":""Laevatain is a sword-wielding caster who deals Heat Damage."",""zh-CN"":""莱万汀是一名使用单手剑的术士干员，可造成灼热属性的伤害。"",""ja-JP"":""レーヴァテインは片手剣を使う術師オペレーターで、灼熱属性のダメージを与えることができる。"",""ko-KR"":""레바테인은 한손검을 사용하는 캐스터 오퍼레이터로, 열기 속성 피해를 줄 수 있다."",""zh-TW"":""萊萬汀是一名使用單手劍的術師幹員，可造成灼熱屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:55
331,"{""en-US"":""Yvonne"",""zh-CN"":""伊冯"",""ja-JP"":""イヴォンヌ"",""ko-KR"":""이본"",""zh-TW"":""伊馮""}",chr_0017_yvonne,item_chr_0017_yvonne,,"{""en-US"":""Yvonne is a gun-wielding caster who deals Cryo Damage."",""zh-CN"":""伊冯是一名使用手枪的术士干员，可造成寒冷属性的伤害。"",""ja-JP"":""イヴォンヌは拳銃を使う術師オペレーターで、寒冷属性のダメージを与えることができる。"",""ko-KR"":""이본은 권총을 사용하는 캐스터 오퍼레이터로, 냉기 속성 피해를 줄 수 있다."",""zh-TW"":""伊馮是一名使用手槍的術師幹員，可造成寒冷屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:55
332,"{""en-US"":""Da Pan"",""zh-CN"":""大潘"",""ja-JP"":""ダパン"",""ko-KR"":""판"",""zh-TW"":""大潘""}",chr_0018_dapan,item_chr_0018_dapan,,"{""en-US"":""Da Pan is a guard who wields a great sword. He deals Nature Damage."",""zh-CN"":""大潘是一名使用双手武器的近卫干员，可造成自然属性的伤害。"",""ja-JP"":""ダパンは両手武器を使う前衛オペレーターで、自然属性のダメージを与えることができる。"",""ko-KR"":""판은 양손 무기를 사용하는 가드 오퍼레이터로, 자연 속성 피해를 줄 수 있다."",""zh-TW"":""大潘是一名使用雙手武器的近衛幹員，可造成自然屬性的傷害。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:55
333,"{""zh-CN"":""拼块测试Only"",""zh-TW"":""""}",common_2x3_l,item_equip_endrpg_top,,"{""zh-TW"":""""}",[],2025-11-15 00:30:51,2025-11-15 00:47:56
334,"{""zh-CN"":""贵重芯片"",""zh-TW"":""""}",item_003_chips_1,item_read_chip,,"{""zh-TW"":""""}",[],2025-11-15 00:30:51,2025-11-15 00:47:56
335,"{""zh-CN"":""贵重芯片"",""zh-TW"":""""}",item_003_chips_2,item_read_chip,,"{""zh-TW"":""""}",[],2025-11-15 00:30:51,2025-11-15 00:47:56
336,"{""zh-CN"":""维特的信"",""zh-TW"":""""}",item_003_chips_3,item_read_note,,"{""zh-TW"":""""}",[],2025-11-15 00:30:51,2025-11-15 00:47:56
337,"{""en-US"":""Stamina Delimiter"",""zh-CN"":""体力上限增加"",""ja-JP"":""スタミナ上限UP"",""ko-KR"":""기력 최대치 증가"",""zh-TW"":""體力上限增加""}",item_add_endurance,item_add_endurance,,"{""en-US"":""Once acquired, stamina limit for dodge/dash actions is permanently increased."",""zh-CN"":""获取后，永久提升闪避/冲刺的体力上限。"",""ja-JP"":""入手すると、「回避／疾走」に使用するスタミナ上限が永続的にアップする。"",""ko-KR"":""획득 후 영구적으로 회피 또는 돌진의 기력 최대치가 증가한다."",""zh-TW"":""獲得後，永久提升閃避/衝刺的體力上限。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:56
338,"{""en-US"":""Operational EXP"",""zh-CN"":""行动资历"",""ja-JP"":""行動遍歴"",""ko-KR"":""작전 경력"",""zh-TW"":""行動資歷""}",item_adventureexp,item_adventureexp,,"{""en-US"":""Raises the Endministrator's Authority Level."",""zh-CN"":""用于提升管理员的权限等阶。"",""ja-JP"":""管理人の行動レベルアップに用いられる。"",""ko-KR"":""관리자의 권한 등급을 높이는 데 사용된다."",""zh-TW"":""用於提升管理員的權限等階。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:56
339,"{""en-US"":""Savory Tangbao"",""zh-CN"":""异香汤包"",""ja-JP"":""異香タンパオ"",""ko-KR"":""세이보리 탕바오"",""zh-TW"":""異香湯包""}",item_anglel_corp1_1,item_anglel_corp1_1,,"{""en-US"":""Use this consumable to improve the operator's combat performance."",""zh-CN"":""使用后可以提升干员战斗效果的消耗品。"",""ja-JP"":""使用すると、オペレーターの戦闘能力を向上させる消耗品。"",""ko-KR"":""사용 후 오퍼레이터의 전투 효과를 향상시킬 수 있는 소모품이다."",""zh-TW"":""使用後可以提升幹員戰鬥效果的消耗品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:57
340,"{""en-US"":""Citrome Pudding"",""zh-CN"":""瓶装柑橘布丁"",""ja-JP"":""瓶入り柑橘プリン"",""ko-KR"":""감귤 푸딩"",""zh-TW"":""瓶裝柑橘布丁""}",item_anglel_flower2_1,item_anglel_flower2_1,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:57
341,"{""en-US"":""Valley Graybread"",""zh-CN"":""谷地灰面包"",""ja-JP"":""谷地の灰パン"",""ko-KR"":""협곡 호밀빵"",""zh-TW"":""谷地灰麵包""}",item_anglem_corp1_1,item_anglem_corp1_1,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:57
342,"{""en-US"":""Citrome Jelly"",""zh-CN"":""柑橘风味果冻"",""ja-JP"":""柑橘ゼリー"",""ko-KR"":""감귤향 젤리"",""zh-TW"":""柑橘風味果凍""}",item_anglem_flower2_1,item_anglem_flower2_1,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:57
343,"{""en-US"":""Savory Tangmian"",""zh-CN"":""异香清汤面"",""ja-JP"":""異香タンメン"",""ko-KR"":""세이보리 탕면"",""zh-TW"":""異香清湯麵""}",item_angles_corp1_1,item_angles_corp1_1,,"{""en-US"":""Use this consumable to improve the operator's combat performance."",""zh-CN"":""使用后可以提升干员战斗效果的消耗品。"",""ja-JP"":""使用すると、オペレーターの戦闘能力を向上させる消耗品。"",""ko-KR"":""사용 후 오퍼레이터의 전투 효과를 향상시킬 수 있는 소모품이다."",""zh-TW"":""使用後可以提升幹員戰鬥效果的消耗品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:58
344,"{""en-US"":""Citrome Jam"",""zh-CN"":""柑橘风味果酱"",""ja-JP"":""柑橘ジャム"",""ko-KR"":""감귤향 잼"",""zh-TW"":""柑橘風味果醬""}",item_angles_flower2_1,item_angles_flower2_1,,"{""en-US"":""Use this consumable to improve the operator's combat performance."",""zh-CN"":""使用后可以提升干员战斗效果的消耗品。"",""ja-JP"":""使用すると、オペレーターの戦闘能力を向上させる消耗品。"",""ko-KR"":""사용 후 오퍼레이터의 전투 효과를 향상시킬 수 있는 소모품이다."",""zh-TW"":""使用後可以提升幹員戰鬥效果的消耗品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:58
345,"{""en-US"":""Savory Fillet"",""zh-CN"":""异香兽排"",""ja-JP"":""異香獣肉"",""ko-KR"":""세이보리 스테이크"",""zh-TW"":""異香獸排""}",item_animal_angles_1,item_animal_angles_1,,"{""en-US"":""Use this consumable to improve the operator's combat performance."",""zh-CN"":""使用后可以提升干员战斗效果的消耗品。"",""ja-JP"":""使用すると、オペレーターの戦闘能力を向上させる消耗品。"",""ko-KR"":""사용 후 오퍼레이터의 전투 효과를 향상시킬 수 있는 소모품이다."",""zh-TW"":""使用後可以提升幹員戰鬥效果的消耗品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:58
346,"{""en-US"":""Fillet Confit"",""zh-CN"":""油封赤盐焗兽排"",""ja-JP"":""塩漬け肉のコンフィ"",""ko-KR"":""기름에 절인 소금구이 스테이크"",""zh-TW"":""油封赤鹽焗獸排""}",item_animal_insec2_angles_1,item_animal_insec2_angles_1,,"{""en-US"":""Use this consumable to improve the operator's combat performance."",""zh-CN"":""使用后可以提升干员战斗效果的消耗品。"",""ja-JP"":""使用すると、オペレーターの戦闘能力を向上させる消耗品。"",""ko-KR"":""사용 후 오퍼레이터의 전투 효과를 향상시킬 수 있는 소모품이다."",""zh-TW"":""使用後可以提升幹員戰鬥效果的消耗品。""}",[],2025-11-15 00:30:51,2025-11-15 00:47:58
347,"{""en-US"":""Sanity"",""zh-CN"":""理智"",""ja-JP"":""理性"",""ko-KR"":""이성"",""zh-TW"":""理智""}",item_ap,item_ap,,"{""en-US"":""A mental concept essential for sustaining one's ego and supporting the planning and execution of various operations."",""zh-CN"":""用以维持自我的必要概念，支撑着各类行动的策划与执行。"",""ja-JP"":""自我を維持するために必要なもの。あらゆる計画と実行を支える。"",""ko-KR"":""자아를 유지하기 위한 필수 개념으로, 다양한 행동의 기획과 실행을 지탱한다."",""zh-TW"":""用以維持自我的必要概念，支撐著各類行動的策劃與執行。""}",[],2025-11-15 00:30:52,2025-11-15 00:47:59
348,"{""en-US"":""Sanity Syrup"",""zh-CN"":""理智回复液"",""ja-JP"":""理性回復剤"",""ko-KR"":""이성 회복제"",""zh-TW"":""理智恢復液""}",item_ap_supply_nlt,item_ap_supply_nlt,,"{""en-US"":""For recovering Sanity."",""zh-CN"":""使用后可以恢复理智。"",""ja-JP"":""使用すると、理性を回復する。"",""ko-KR"":""사용 시 이성을 회복할 수 있다."",""zh-TW"":""使用後可以恢復理智。""}",[],2025-11-15 00:30:52,2025-11-15 00:47:59
349,"{""zh-CN"":""楼盘广告"",""zh-TW"":""""}",item_book_002_01,item_poster_1,,"{""zh-TW"":""""}",[],2025-11-15 00:30:52,2025-11-15 00:47:59
350,"{""en-US"":""Buckpill [S]"",""zh-CN"":""小瓶荞复锭剂"",""ja-JP"":""火映蕎花錠剤Ⅰ"",""ko-KR"":""작은 병의 앵초 회복제"",""zh-TW"":""小瓶蕎復錠劑""}",item_bottled_flower1spc_1,item_bottled_flower1spc_1,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:52,2025-11-15 00:47:59
351,"{""en-US"":""Buckpill [L]"",""zh-CN"":""大瓶荞复锭剂"",""ja-JP"":""火映蕎花錠剤Ⅱ"",""ko-KR"":""큰 병의 앵초 회복제"",""zh-TW"":""大瓶蕎復錠劑""}",item_bottled_flower1spc_2,item_bottled_flower1spc_2,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:52,2025-11-15 00:48:00
352,"{""en-US"":""Buckpill [Rf.]"",""zh-CN"":""精选荞复锭剂"",""ja-JP"":""火映蕎花錠剤Ⅲ"",""ko-KR"":""최고급 앵초 회복제"",""zh-TW"":""精選蕎復錠劑""}",item_bottled_flower1spc_3,item_bottled_flower1spc_3,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:52,2025-11-15 00:48:00
353,"{""en-US"":""Citromix [S]"",""zh-CN"":""小瓶柑实冲剂"",""ja-JP"":""黒銀シトローム顆粒剤Ⅰ"",""ko-KR"":""작은 병의 시트롬 과립제"",""zh-TW"":""小瓶柑實沖泡劑""}",item_bottled_flower2spc_1,item_bottled_flower2spc_1,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:52,2025-11-15 00:48:00
354,"{""en-US"":""Citromix [L]"",""zh-CN"":""大瓶柑实冲剂"",""ja-JP"":""黒銀シトローム顆粒剤Ⅱ"",""ko-KR"":""큰 병의 시트롬 과립제"",""zh-TW"":""大瓶柑實沖泡劑""}",item_bottled_flower2spc_2,item_bottled_flower2spc_2,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:52,2025-11-15 00:48:00
355,"{""en-US"":""Citromix [Rf.]"",""zh-CN"":""精选柑实冲剂"",""ja-JP"":""黒銀シトローム顆粒剤Ⅲ"",""ko-KR"":""최고급 시트롬 과립제"",""zh-TW"":""精選柑實沖泡劑""}",item_bottled_flower2spc_3,item_bottled_flower2spc_3,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}",[],2025-11-15 00:30:52,2025-11-15 00:48:00
356,"{""en-US"":""Canned Citrome [C]"",""zh-CN"":""柑实罐头"",""ja-JP"":""シトロームの缶詰Ⅰ"",""ko-KR"":""시트롬 통조림"",""zh-TW"":""柑實罐頭""}",item_bottled_food_1,item_bottled_food_1,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}","[{""buffers"":{""item_bottled_food_1"":0,""item_glass_bottle"":0,""item_plant_moss_powder_2"":0},""formulaDesc"":""Canned Citrome [C] Production"",""formulaGroupId"":""group_filling_normal"",""id"":""filling_bottled_food_1_1"",""ingredients"":[{""group"":[{""count"":5,""id"":""item_glass_bottle""},{""count"":5,""id"":""item_plant_moss_powder_2""}]}],""machineId"":""filling_powder_mc_1"",""outcomes"":[{""group"":[{""count"":1,""id"":""item_bottled_food_1""}]}],""progressRound"":10,""signal"":0,""sortId"":1,""totalProgress"":60000}]",2025-11-15 00:30:52,2025-11-15 00:48:01
357,"{""en-US"":""Canned Citrome [B]"",""zh-CN"":""优质柑实罐头"",""ja-JP"":""シトロームの缶詰Ⅱ"",""ko-KR"":""고급 시트롬 통조림"",""zh-TW"":""優質柑實罐頭""}",item_bottled_food_2,item_bottled_food_2,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}","[{""buffers"":{""item_bottled_food_2"":0,""item_iron_bottle"":0,""item_plant_moss_powder_2"":0},""formulaDesc"":""Canned Citrome [B] Production"",""formulaGroupId"":""group_filling_normal"",""id"":""filling_bottled_food_2_1"",""ingredients"":[{""group"":[{""count"":10,""id"":""item_iron_bottle""},{""count"":10,""id"":""item_plant_moss_powder_2""}]}],""machineId"":""filling_powder_mc_1"",""outcomes"":[{""group"":[{""count"":1,""id"":""item_bottled_food_2""}]}],""progressRound"":10,""signal"":0,""sortId"":2,""totalProgress"":60000}]",2025-11-15 00:30:52,2025-11-15 00:48:01
358,"{""en-US"":""Canned Citrome [A]"",""zh-CN"":""精选柑实罐头"",""ja-JP"":""シトロームの缶詰Ⅲ"",""ko-KR"":""최고급 시트롬 통조림"",""zh-TW"":""精選柑實罐頭""}",item_bottled_food_3,item_bottled_food_3,,"{""en-US"":""Use this tactical to restore the operator's HP."",""zh-CN"":""使用后可以回复干员生命值的战术物品。"",""ja-JP"":""オペレーターのHPを回復する戦術アイテム"",""ko-KR"":""사용 후 오퍼레이터의 생명력을 회복시킬 수 있는 전술 아이템이다."",""zh-TW"":""使用後可以恢復幹員生命值的戰術物品。""}","[{""buffers"":{""item_bottled_food_3"":0,""item_iron_enr_bottle"":0,""item_plant_moss_enr_powder_2"":0},""formulaDesc"":""Canned Citrome [A] Production"",""formulaGroupId"":""group_filling_normal"",""id"":""filling_bottled_food_3_1"",""ingredients"":[{""group"":[{""count"":10,""id"":""item_iron_enr_bottle""},{""count"":10,""id"":""item_plant_moss_enr_powder_2""}]}],""machineId"":""filling_powder_mc_1"",""outcomes"":[{""group"":[{""count"":1,""id"":""item_bottled_food_3""}]}],""progressRound"":10,""signal"":0,""sortId"":3,""totalProgress"":60000}]",2025-11-15 00:30:52,2025-11-15 00:48:01
